GTRD peaks ID,UniProt ID,Cell Line,Treatment,Antibody,TFClass,Species,PubMed,GEO,ENCODE,Peak calls participated in analysis
PEAKS020383,CTCF_HUMAN,AG10803,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749759,GSM749714",wgEncodeEH000979,1000
PEAKS020384,ZN274_HUMAN,GM08714,,ZNF274, 2.3.3.0.6,Homo sapiens,,GSM935329,wgEncodeEH002866,1000
PEAKS020385,MYC_HUMAN,HeLa-S3,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822286,wgEncodeEH000542,1000
PEAKS020388,MYC_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_4hr,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935491,wgEncodeEH002840,1000
PEAKS020392,IRF4_HUMAN,GM12878,,IRF4_(SC-6059), 3.5.3.0.4,Homo sapiens,,GSM803390,wgEncodeEH001484,1000
PEAKS020393,IRF4_HUMAN,GM12878,,IRF4_(SC-6059), 3.5.3.0.4,Homo sapiens,,GSM803390,wgEncodeEH001484,1000
PEAKS020394,ATF3_HUMAN,K562,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM803380,wgEncodeEH001662,1000
PEAKS020396,HSF1_HUMAN,HepG2,forskolin,HSF1, 3.4.1.0.1,Homo sapiens,,GSM935626,wgEncodeEH000754,1000
PEAKS020398,ZN274_HUMAN,NT2-D1,,ZNF274, 2.3.3.0.6,Homo sapiens,,GSM935584,wgEncodeEH001775,1000
PEAKS020399,FOXA2_HUMAN,HepG2,,FOXA2_(SC-6554), 3.3.1.1.2,Homo sapiens,,GSM803403,wgEncodeEH001650,1000
PEAKS020400,ZN143_HUMAN,HeLa-S3,,Znf143_(16618-1-AP), 2.3.3.28.2,Homo sapiens,,GSM935436,wgEncodeEH002028,1000
PEAKS020402,IKZF1_HUMAN,GM12878,,IKZF1_(IkN)_(UCLA), 2.3.4.4.1,Homo sapiens,,GSM935442,wgEncodeEH002811,1000
PEAKS020406,NRF1_HUMAN,GM12878,,Nrf1, 0.0.6.0.1,Homo sapiens,,GSM935309,wgEncodeEH001846,1000
PEAKS020407,UBF1_HUMAN,K562,,UBTF_(SAB1404509), 4.1.6.1.1,Homo sapiens,,GSM935642,wgEncodeEH002850,1000
PEAKS020408,KAISO_HUMAN,HepG2,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803418,wgEncodeEH001642,1000
PEAKS020410,CTCF_HUMAN,T-47D,DMSO_0.02pct,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM803348,wgEncodeEH001656,1000
PEAKS020411,CTCF_HUMAN,MCF-7,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822305,wgEncodeEH000598,1000
PEAKS020414,CTCF_HUMAN,HMEC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733724,wgEncodeEH000075,1000
PEAKS020416,JUND_HUMAN,K562,,JunD, 1.1.1.1.3,Homo sapiens,,GSM935569,wgEncodeEH002164,1000
PEAKS020420,CTCF_HUMAN,H1-hESC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733672,wgEncodeEH000085,1000
PEAKS020421,GABPA_HUMAN,H1-hESC,,GABP, 3.5.2.1.4,Homo sapiens,,GSM803424,wgEncodeEH001534,1000
PEAKS020422,TF7L2_HUMAN,HepG2,,TCF7L2, 4.1.3.0.3,Homo sapiens,,GSM782122,wgEncodeEH001780,1000
PEAKS020423,CTCF_HUMAN,A549,DEX_100nM,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM803453,wgEncodeEH001507,1000
PEAKS020426,CTCF_HUMAN,NHEK,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733636,wgEncodeEH000063,1000
PEAKS020429,CTCF_HUMAN,HeLa-S3,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822285,wgEncodeEH000541,1000
PEAKS020430,TBP_HUMAN,H1-hESC,,TBP, 8.1.1.0.1,Homo sapiens,,GSM935303,wgEncodeEH001848,1000
PEAKS020431,RXRA_HUMAN,GM12878,,RXRA, 2.1.3.1.1,Homo sapiens,,GSM803341,wgEncodeEH001541,1000
PEAKS020432,RXRA_HUMAN,GM12878,,RXRA, 2.1.3.1.1,Homo sapiens,,GSM803341,wgEncodeEH001541,1000
PEAKS020433,CTCF_HUMAN,NHDF-neo,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022676,GSM1022675",wgEncodeEH002058,1000
PEAKS020434,MAFK_HUMAN,HeLa-S3,,MafK_(ab50322), 1.1.3.2.3,Homo sapiens,,GSM935290,wgEncodeEH002856,1000
PEAKS020435,MYC_HUMAN,MCF-7,vehicle,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822301,wgEncodeEH001133,1000
PEAKS020437,MYBB_HUMAN,HepG2,,MYBL2_(SC-81192), 3.5.1.1.3,Homo sapiens,,GSM1010876,wgEncodeEH002344,1000
PEAKS020438,CTCF_HUMAN,NHEK,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749747,GSM749707",wgEncodeEH000406,1000
PEAKS020439,SPI1_HUMAN,K562,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM803384,wgEncodeEH001482,1000
PEAKS020441,GATA2_HUMAN,K562,,eGFP-GATA2, 2.2.1.1.2,Homo sapiens,,GSM777641,wgEncodeEH001208,1000
PEAKS020442,SPI1_HUMAN,K562,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM803384,wgEncodeEH001482,1000
PEAKS020443,NR2C2_HUMAN,HeLa-S3,,TR4, 2.1.3.4.2,Homo sapiens,,GSM935369,wgEncodeEH000687,1000
PEAKS020446,PBX3_HUMAN,GM12878,,Pbx3, 3.1.4.4.3,Homo sapiens,,GSM803532,wgEncodeEH001477,1000
PEAKS020447,USF2_HUMAN,H1-hESC,,USF2, 1.2.6.2.2,Homo sapiens,,GSM935380,wgEncodeEH001837,1000
PEAKS020448,SRBP1_HUMAN,HepG2,pravastatin,SREBP1, 1.2.6.3.1,Homo sapiens,,GSM935315,wgEncodeEH000642,1000
PEAKS020449,MYC_HUMAN,MCF-7,estrogen,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822304,wgEncodeEH001134,1000
PEAKS020451,CTCF_HUMAN,HeLa-S3,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733785,wgEncodeEH001012,1000
PEAKS020452,JUN_HUMAN,K562,,c-Jun, 1.1.1.1.1,Homo sapiens,,GSM935411,wgEncodeEH000620,1000
PEAKS020453,TBP_HUMAN,HeLa-S3,,TBP, 8.1.1.0.1,Homo sapiens,,GSM935606,wgEncodeEH001790,1000
PEAKS020455,CEBPB_HUMAN,HepG2,forskolin,CEBPB, 1.1.8.1.2,Homo sapiens,,GSM935622,wgEncodeEH000750,1000
PEAKS020456,COE1_HUMAN,GM12878,,EBF1_(SC-137065), 6.1.5.0.1,Homo sapiens,,GSM803386,wgEncodeEH001480,1000
PEAKS020458,CEBPB_HUMAN,H1-hESC,,CEBPB, 1.1.8.1.2,Homo sapiens,,GSM935295,wgEncodeEH002825,1000
PEAKS020459,COE1_HUMAN,GM12878,,EBF1_(SC-137065), 6.1.5.0.1,Homo sapiens,,GSM803386,wgEncodeEH001480,1000
PEAKS020460,NFYA_HUMAN,HeLa-S3,,NF-YA, 4.2.1.0.1,Homo sapiens,,GSM935508,wgEncodeEH002066,1000
PEAKS020461,TYY1_HUMAN,K562,,YY1, 2.3.3.9.1,Homo sapiens,,GSM803470,wgEncodeEH001623,1000
PEAKS020462,REST_HUMAN,PFSK-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803369,wgEncodeEH001553,1000
PEAKS020463,TYY1_HUMAN,K562,,YY1, 2.3.3.9.1,Homo sapiens,,GSM803470,wgEncodeEH001623,1000
PEAKS020464,CTCF_HUMAN,K562,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749690,GSM749733",wgEncodeEH000399,1000
PEAKS020465,SIX5_HUMAN,H1-hESC,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803405,wgEncodeEH001528,1000
PEAKS020467,CTCF_HUMAN,A549,EtOH_0.02pct,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM803456,wgEncodeEH001508,1000
PEAKS020469,MEF2C_HUMAN,GM12878,,MEF2C_(SC-13268), 5.1.1.1.3,Homo sapiens,,GSM803420,wgEncodeEH001648,1000
PEAKS020470,BHE40_HUMAN,GM12878,,BHLHE40_(NB100-1800), 1.2.4.1.12,Homo sapiens,,GSM935430,wgEncodeEH002025,1000
PEAKS020471,RFX5_HUMAN,GM12878,,RFX5_(200-401-194), 3.3.3.0.5,Homo sapiens,,GSM935556,wgEncodeEH001810,1000
PEAKS020472,CTCF_HUMAN,HEK293,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749687,GSM749668",wgEncodeEH000396,1000
PEAKS020473,BHE40_HUMAN,HepG2,,BHLHE40_(NB100-1800), 1.2.4.1.12,Homo sapiens,,GSM935566,wgEncodeEH002032,1000
PEAKS020477,BCL3_HUMAN,GM12878,,BCL3, 6.1.2.1.8,Homo sapiens,,GSM803342,wgEncodeEH001658,1000
PEAKS020478,CTCF_HUMAN,HVMF,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022628,GSM1022630",wgEncodeEH002056,1000
PEAKS020481,ZBT7A_HUMAN,K562,,ZBTB7A_(SC-34508), 2.3.3.8.1,Homo sapiens,,GSM803473,wgEncodeEH001620,1000
PEAKS020482,USF1_HUMAN,A549,DEX_100nM,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803457,wgEncodeEH001509,1000
PEAKS020483,MYC_HUMAN,K562,IFNg6h,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935599,wgEncodeEH000670,1000
PEAKS020485,MYC_HUMAN,NB4,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935643,wgEncodeEH001807,1000
PEAKS020488,PAX5_HUMAN,GM12878,,PAX5-N19, 3.2.2.2.2,Homo sapiens,,GSM803362,wgEncodeEH001495,1000
PEAKS020490,CTCF_HUMAN,HPAF,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749751,GSM749681",wgEncodeEH000986,1000
PEAKS020491,SIX5_HUMAN,K562,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803378,wgEncodeEH001664,1000
PEAKS020493,JUND_HUMAN,H1-hESC,,JunD, 1.1.1.1.3,Homo sapiens,,GSM803529,wgEncodeEH001579,1000
PEAKS020496,SIX5_HUMAN,A549,EtOH_0.02pct,SIX5, 3.1.6.3.2,Homo sapiens,,GSM1010879,wgEncodeEH002341,1000
PEAKS020497,STAT1_HUMAN,K562,IFNg6h,STAT1, 6.2.1.0.1,Homo sapiens,,GSM935488,wgEncodeEH000761,1000
PEAKS020498,SMRC2_HUMAN,HeLa-S3,,BAF170, 3.5.1.6.4,Homo sapiens,,GSM935638,wgEncodeEH000721,1000
PEAKS020499,REST_HUMAN,GM12878,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803349,wgEncodeEH001465,1000
PEAKS020500,CTCF_HUMAN,AoAF,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749666,GSM749736",wgEncodeEH000980,1000
PEAKS020501,REST_HUMAN,GM12878,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803349,wgEncodeEH001465,1000
PEAKS020502,CTCF_HUMAN,HCPEpiC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749745,GSM749735",wgEncodeEH000983,1000
PEAKS020503,AP2A_HUMAN,HeLa-S3,,AP-2alpha, 1.3.1.0.1,Homo sapiens,,GSM935367,wgEncodeEH000685,1000
PEAKS020504,MYC_HUMAN,MCF10A-Er-Src,EtOH_0.01pct,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM935441,wgEncodeEH002816,1000
PEAKS020506,NRF1_HUMAN,K562,,Nrf1, 0.0.6.0.1,Homo sapiens,,GSM935361,wgEncodeEH001796,1000
PEAKS020508,NFYB_HUMAN,HeLa-S3,,NF-YB, 4.2.1.0.2,Homo sapiens,,GSM935408,wgEncodeEH002067,1000
PEAKS020509,TYY1_HUMAN,HCT-116,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803354,wgEncodeEH001671,1000
PEAKS020511,FOS_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_4hr,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935397,wgEncodeEH002838,1000
PEAKS020514,CTCF_HUMAN,SK-N-SH_RA,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM803333,wgEncodeEH001613,1000
PEAKS020515,STAT2_HUMAN,K562,IFNa30,STAT2, 6.2.1.0.2,Homo sapiens,,GSM935470,wgEncodeEH000665,1000
PEAKS020516,ZN217_HUMAN,MCF-7,,ZNF217, 2.3.4.2.4,Homo sapiens,,GSM935563,wgEncodeEH002036,1000
PEAKS020519,NFYA_HUMAN,K562,,NF-YA, 4.2.1.0.1,Homo sapiens,,GSM935433,wgEncodeEH002021,1000
PEAKS020521,TYY1_HUMAN,K562,,YY1, 2.3.3.9.1,Homo sapiens,,GSM935368,wgEncodeEH000684,1000
PEAKS020523,NFIC_HUMAN,HepG2,,NFIC_(SC-81335), 7.1.2.0.3,Homo sapiens,,GSM1010741,wgEncodeEH002319,1000
PEAKS020524,MAZ_HUMAN,HeLa-S3,,MAZ_(ab85725), 2.3.4.8.1,Homo sapiens,,GSM935272,wgEncodeEH002855,1000
PEAKS020528,SP2_HUMAN,K562,,SP2_(SC-643), 2.3.1.1.2,Homo sapiens,,GSM803402,wgEncodeEH001653,1000
PEAKS020529,MAX_HUMAN,K562,,Max, 1.2.6.5.5,Homo sapiens,,GSM935344,wgEncodeEH002869,1000
PEAKS020531,NR2C2_HUMAN,GM12878,,TR4, 2.1.3.4.2,Homo sapiens,,GSM935480,wgEncodeEH000697,1000
PEAKS020536,HTF4_HUMAN,GM12878,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM803389,wgEncodeEH001485,1000
PEAKS020537,HTF4_HUMAN,GM12878,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM803389,wgEncodeEH001485,1000
PEAKS020540,COT2_HUMAN,K562,,NR2F2_(SC-271940), 2.1.3.5.2,Homo sapiens,,GSM1010782,wgEncodeEH002382,1000
PEAKS020543,CTCF_HUMAN,NH-A,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733765,wgEncodeEH001026,1000
PEAKS020544,MAFF_HUMAN,HepG2,,MafF_(M8194), 1.1.3.2.1,Homo sapiens,,GSM935306,wgEncodeEH001841,1000
PEAKS020547,STAT3_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_12hr,STAT3, 6.2.1.0.3,Homo sapiens,,GSM935399,wgEncodeEH002836,1000
PEAKS020548,ELF1_HUMAN,HepG2,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM803415,wgEncodeEH001641,1000
PEAKS020549,ZN143_HUMAN,K562,,Znf143_(16618-1-AP), 2.3.3.28.2,Homo sapiens,,GSM935568,wgEncodeEH002030,1000
PEAKS020550,NR2C2_HUMAN,K562,,TR4, 2.1.3.4.2,Homo sapiens,,GSM935374,wgEncodeEH000682,1000
PEAKS020551,FOSL2_HUMAN,HepG2,,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM803451,wgEncodeEH001501,1000
PEAKS020552,GATA2_HUMAN,HUVEC,,GATA-2, 2.2.1.1.2,Homo sapiens,,GSM935347,wgEncodeEH001758,1000
PEAKS020553,IRF3_HUMAN,GM12878,,IRF3, 3.5.3.0.3,Homo sapiens,,GSM935651,wgEncodeEH001809,1000
PEAKS020559,AP2C_HUMAN,HeLa-S3,,AP-2gamma, 1.3.1.0.3,Homo sapiens,,GSM935370,wgEncodeEH000686,1000
PEAKS020562,FOS_HUMAN,HeLa-S3,,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935317,wgEncodeEH000647,1000
PEAKS020563,KAISO_HUMAN,K562,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803504,wgEncodeEH001569,1000
PEAKS020564,ATF3_HUMAN,HepG2,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM803503,wgEncodeEH001568,1000
PEAKS020566,STAT1_HUMAN,HeLa-S3,IFNg30,STAT1, 6.2.1.0.1,Homo sapiens,,GSM935360,wgEncodeEH000614,1000
PEAKS020567,HNF4G_HUMAN,HepG2,,HNF4G_(SC-6558), 2.1.3.2.2,Homo sapiens,,GSM803404,wgEncodeEH001651,1000
PEAKS020568,SRF_HUMAN,K562,,SRF, 5.1.2.0.1,Homo sapiens,,GSM803520,wgEncodeEH001600,1000
PEAKS020570,REST_HUMAN,HepG2,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803344,wgEncodeEH001549,1000
PEAKS020571,TF7L2_HUMAN,HEK293,,TCF7L2, 4.1.3.0.3,Homo sapiens,,GSM782124,wgEncodeEH002022,1000
PEAKS020572,CEBPB_HUMAN,HepG2,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010778,wgEncodeEH002304,1000
PEAKS020577,ATF3_HUMAN,H1-hESC,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM803512,wgEncodeEH001566,1000
PEAKS020584,JUND_HUMAN,K562,,eGFP-JunD, 1.1.1.1.3,Homo sapiens,,GSM777639,wgEncodeEH001211,1000
PEAKS020585,REST_HUMAN,U87,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803372,wgEncodeEH001554,1000
PEAKS020586,TAF1_HUMAN,GM12892,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803489,wgEncodeEH001513,1000
PEAKS020588,FOS_HUMAN,K562,,eGFP-FOS, 1.1.2.1.1,Homo sapiens,,GSM777644,wgEncodeEH001207,1000
PEAKS020590,CTCF_HUMAN,HAc,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022662,GSM1022661",wgEncodeEH001893,1000
PEAKS020591,CTCF_HUMAN,H1-hESC,,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM803419,wgEncodeEH001649,1000
PEAKS020593,FOS_HUMAN,HUVEC,,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935585,wgEncodeEH001774,1000
PEAKS020594,FOSL2_HUMAN,A549,EtOH_0.02pct,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM1010748,wgEncodeEH002310,1000
PEAKS020595,ZN143_HUMAN,GM12878,,Znf143_(16618-1-AP), 2.3.3.28.2,Homo sapiens,,GSM935613,wgEncodeEH001853,1000
PEAKS020596,BACH1_HUMAN,H1-hESC,,Bach1_(sc-14700), 1.1.1.2.5,Homo sapiens,,GSM935580,wgEncodeEH002842,1000
PEAKS020602,NFYB_HUMAN,GM12878,,NF-YB, 4.2.1.0.2,Homo sapiens,,GSM935507,wgEncodeEH002065,1000
PEAKS020606,FOXP2_HUMAN,PFSK-1,,FOXP2, 3.3.1.16.2,Homo sapiens,,GSM803480,wgEncodeEH001460,1000
PEAKS020607,PAX5_HUMAN,GM12891,,PAX5-C20, 3.2.2.2.2,Homo sapiens,,GSM803337,wgEncodeEH001545,1000
PEAKS020608,SP1_HUMAN,HepG2,,SP1, 2.3.1.1.1,Homo sapiens,,GSM803507,wgEncodeEH001561,1000
PEAKS020609,CTCF_HUMAN,GM12875,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749764,GSM749670",wgEncodeEH000452,1000
PEAKS020610,SP1_HUMAN,HepG2,,SP1, 2.3.1.1.1,Homo sapiens,,GSM803507,wgEncodeEH001561,1000
PEAKS020611,JUND_HUMAN,HepG2,,JunD, 1.1.1.1.3,Homo sapiens,,GSM935649,wgEncodeEH001801,1000
PEAKS020614,SIX5_HUMAN,GM12878,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803338,wgEncodeEH001542,1000
PEAKS020615,SIX5_HUMAN,GM12878,,SIX5, 3.1.6.3.2,Homo sapiens,,GSM803338,wgEncodeEH001542,1000
PEAKS020617,USF1_HUMAN,HepG2,,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803527,wgEncodeEH001472,1000
PEAKS020618,CEBPD_HUMAN,HepG2,,CEBPD_(SC-636), 1.1.8.1.4,Homo sapiens,,GSM1010777,wgEncodeEH002305,1000
PEAKS020620,HTF4_HUMAN,H1-hESC,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM803427,wgEncodeEH001531,1000
PEAKS020622,CTCF_HUMAN,K562,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822311,wgEncodeEH000535,1000
PEAKS020623,CTCF_HUMAN,HPF,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749717,GSM749699",wgEncodeEH000987,1000
PEAKS020624,CTCF_HUMAN,HMEC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749753,GSM1022631",wgEncodeEH000419,1000
PEAKS020625,BC11A_HUMAN,H1-hESC,,BCL11A, 2.3.4.15.1,Homo sapiens,,GSM803396,wgEncodeEH001527,1000
PEAKS020626,SP2_HUMAN,H1-hESC,,SP2_(SC-643), 2.3.1.1.2,Homo sapiens,,GSM1010776,wgEncodeEH002302,1000
PEAKS020627,GABPA_HUMAN,HeLa-S3,,GABP, 3.5.2.1.4,Homo sapiens,,GSM803454,wgEncodeEH001504,1000
PEAKS020628,MAFK_HUMAN,HepG2,,MafK_(ab50322), 1.1.3.2.3,Homo sapiens,,GSM935305,wgEncodeEH001842,1000
PEAKS020631,MAX_HUMAN,K562,,Max, 1.2.6.5.5,Homo sapiens,,GSM935539,wgEncodeEH000637,1000
PEAKS020632,BHE40_HUMAN,A549,,BHLHE40, 1.2.4.1.12,Homo sapiens,,GSM935440,wgEncodeEH002817,1000
PEAKS020634,MAFK_HUMAN,H1-hESC,,MafK_(ab50322), 1.1.3.2.3,Homo sapiens,,GSM935292,wgEncodeEH002828,1000
PEAKS020637,JUND_HUMAN,HeLa-S3,,JunD, 1.1.1.1.3,Homo sapiens,,GSM935328,wgEncodeEH000745,1000
PEAKS020640,BHE40_HUMAN,HepG2,,BHLHE40, 1.2.4.1.12,Homo sapiens,,GSM803483,wgEncodeEH001515,1000
PEAKS020641,IRF3_HUMAN,HepG2,,IRF3, 3.5.3.0.3,Homo sapiens,,GSM935650,wgEncodeEH001800,1000
PEAKS020642,ELK4_HUMAN,HEK293,,ELK4, 3.5.2.2.3,Homo sapiens,,GSM935590,wgEncodeEH001773,1000
PEAKS020643,ZN274_HUMAN,GM12878,,ZNF274, 2.3.3.0.6,Homo sapiens,,GSM935349,wgEncodeEH001756,1000
PEAKS020646,SRBP1_HUMAN,HepG2,insulin,SREBP1, 1.2.6.3.1,Homo sapiens,,GSM935627,wgEncodeEH000759,1000
PEAKS020647,STAT1_HUMAN,K562,IFNa30,STAT1, 6.2.1.0.1,Homo sapiens,,GSM935472,wgEncodeEH000663,1000
PEAKS020648,SP1_HUMAN,K562,,SP1, 2.3.1.1.1,Homo sapiens,,GSM803505,wgEncodeEH001578,1000
PEAKS020650,ZN274_HUMAN,HeLa-S3,,ZNF274, 2.3.3.0.6,Homo sapiens,,GSM935459,wgEncodeEH001763,1000
PEAKS020653,REST_HUMAN,HepG2,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010784,wgEncodeEH002263,1000
PEAKS020654,TFE2_HUMAN,GM12878,,TCF3_(SC-349), 1.2.1.0.1,Homo sapiens,,GSM1010745,wgEncodeEH002315,1000
PEAKS020655,TFE2_HUMAN,GM12878,,TCF3_(SC-349), 1.2.1.0.1,Homo sapiens,,GSM1010745,wgEncodeEH002315,1000
PEAKS020660,REST_HUMAN,SK-N-SH,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803335,wgEncodeEH001547,1000
PEAKS020661,CTCF_HUMAN,HCM,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022657,GSM1022677",wgEncodeEH001894,1000
PEAKS020666,FOS_HUMAN,GM12878,,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935409,wgEncodeEH000622,1000
PEAKS020667,TEAD4_HUMAN,HepG2,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010875,wgEncodeEH002345,1000
PEAKS020668,GATA2_HUMAN,K562,,GATA-2, 2.2.1.1.2,Homo sapiens,,GSM935373,wgEncodeEH000683,1000
PEAKS020672,KAISO_HUMAN,GM12878,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803392,wgEncodeEH001488,1000
PEAKS020674,KAISO_HUMAN,GM12878,,ZBTB33, 2.3.2.1.12,Homo sapiens,,GSM803392,wgEncodeEH001488,1000
PEAKS020675,MXI1_HUMAN,GM12878,,Mxi1_(AF4185), 1.2.6.7.5,Homo sapiens,,GSM935431,wgEncodeEH002026,1000
PEAKS020678,RCOR1_HUMAN,K562,,COREST_(sc-30189), 3.5.1.2.3,Homo sapiens,,GSM935439,wgEncodeEH002814,1000
PEAKS020681,ERR1_HUMAN,HepG2,forskolin,ERRA, 2.1.1.2.3,Homo sapiens,,GSM935621,wgEncodeEH000751,1000
PEAKS020682,TAF1_HUMAN,GM12891,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803393,wgEncodeEH001524,1000
PEAKS020683,MEF2A_HUMAN,GM12878,,MEF2A, 5.1.1.1.1,Homo sapiens,,GSM803511,wgEncodeEH001565,1000
PEAKS020685,RCOR1_HUMAN,HepG2,,COREST_(sc-30189), 3.5.1.2.3,Homo sapiens,,GSM935579,wgEncodeEH002845,1000
PEAKS020687,RFX5_HUMAN,K562,,RFX5_(200-401-194), 3.3.3.0.5,Homo sapiens,,GSM935565,wgEncodeEH002033,1000
PEAKS020689,PO2F2_HUMAN,GM12878,,POU2F2, 3.1.10.2.2,Homo sapiens,,GSM803534,wgEncodeEH001475,1000
PEAKS020690,GATA3_HUMAN,MCF-7,,GATA3_(SC-269), 2.2.1.1.3,Homo sapiens,,GSM935445,wgEncodeEH002812,1000
PEAKS020692,CTCF_HUMAN,HUVEC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822279,wgEncodeEH000551,1000
PEAKS020693,ZN274_HUMAN,K562,,ZNF274_(M01), 2.3.3.0.6,Homo sapiens,,GSM935503,wgEncodeEH002068,1000
PEAKS020694,CEBPB_HUMAN,K562,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010878,wgEncodeEH002346,1000
PEAKS020695,GATA1_HUMAN,PBDEFetal,,GATA-1, 2.2.1.1.1,Homo sapiens,,GSM935333,wgEncodeEH001785,1000
PEAKS020696,CTCF_HUMAN,HA-sp,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749696,GSM1022668",wgEncodeEH000989,1000
PEAKS020698,JUND_HUMAN,HepG2,,JunD, 1.1.1.1.3,Homo sapiens,,GSM803500,wgEncodeEH001470,1000
PEAKS020699,E2F1_HUMAN,MCF-7,,HA-E2F1, 3.3.2.1.1,Homo sapiens,,GSM935477,wgEncodeEH000693,1000
PEAKS020705,SMRC1_HUMAN,HeLa-S3,,BAF155, 3.5.1.6.3,Homo sapiens,,GSM935637,wgEncodeEH000720,1000
PEAKS020708,CTCF_HUMAN,Caco-2,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749689,GSM749748",wgEncodeEH000404,1000
PEAKS020711,JUN_HUMAN,H1-hESC,,c-Jun, 1.1.1.1.1,Homo sapiens,,GSM935614,wgEncodeEH001854,1000
PEAKS020713,RXRA_HUMAN,HepG2,,RXRA, 2.1.3.1.1,Homo sapiens,,GSM803452,wgEncodeEH001506,1000
PEAKS020715,MXI1_HUMAN,H1-hESC,,Mxi1_(AF4185), 1.2.6.7.5,Homo sapiens,,GSM935293,wgEncodeEH002829,1000
